Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,431,0,774,213.80,0.000%,142.28799,23.48,20.98,169.0
user_info_2,250,762,0,2756,547.88,0.000%,60.22645,28.00,46.44,476.0
user_info_3,250,661,0,2763,350.92,0.000%,55.94093,20.21,43.35,370.0
object_info_1,250,591,0,2191,218.71,0.000%,53.92580,12.16,8.64,231.0
object_info_2,250,583,0,2015,244.90,0.000%,55.51854,25.81,9.00,476.0
object_info_3,250,506,0,2094,215.43,0.000%,62.48438,32.04,10.13,525.0
object_info_4,250,398,0,656,155.14,0.000%,79.69398,18.44,12.92,237.0
TOTAL,1750,562,0,2763,326.42,0.000%,330.93797,114.68,110.63,354.9
