Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,500,995,0,5595,764.62,0.000%,77.91803,12.86,11.49,169.0
user_info_2,498,1389,0,6003,919.99,1.004%,67.02557,32.45,51.22,495.7
user_info_3,497,1527,0,21047,1876.77,1.207%,21.02013,8.15,16.05,397.2
object_info_1,497,1355,0,21034,1435.78,0.402%,20.08162,4.73,3.20,241.0
object_info_2,497,1189,0,21036,1376.55,0.402%,19.95263,9.45,3.22,485.0
object_info_3,497,940,0,3380,337.23,0.000%,19.90149,10.20,3.23,525.0
object_info_4,497,848,0,1999,342.11,0.000%,20.12635,4.66,3.26,237.0
TOTAL,3483,1177,0,21047,1166.93,0.431%,120.96690,43.02,40.10,364.2
