Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,2222,0,2289,31.67,100.000%,15.86798,42.01,0.00,2711.0
user_info_2,50,2220,0,2295,36.96,100.000%,15.32802,40.58,0.00,2711.0
user_info_3,50,2219,0,2298,36.98,100.000%,15.35627,40.66,0.00,2711.0
object_info_1,50,2214,0,2296,38.63,100.000%,15.33742,40.61,0.00,2711.0
object_info_2,50,2230,0,2299,36.77,100.000%,15.32332,40.57,0.00,2711.0
object_info_3,50,2230,0,2293,28.03,100.000%,15.11944,40.03,0.00,2711.0
object_info_4,50,2231,0,2296,31.76,100.000%,14.88538,39.41,0.00,2711.0
TOTAL,350,2224,0,2299,35.13,100.000%,21.01219,55.63,0.00,2711.0
