Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/user_info_2_1,4301,560,0,1412,491.52,0.000%,31.84746,14.80,24.59,476.0
/user_info_2_2,4274,558,0,1411,491.80,0.000%,31.95849,14.86,24.69,476.0
/user_info_2_3,4251,549,0,1404,490.39,0.000%,31.66127,14.72,24.46,476.0
/user_info_2_4,4226,567,0,1349,491.41,0.000%,31.37016,14.58,24.24,476.0
TOTAL,17052,559,0,1412,491.32,0.000%,126.26435,58.69,97.54,476.0
